t,phase,ctr_window,revenue_window,latency_ms,pending_conversions,selected_ad_id,n_arms,cumulative_clicks,cumulative_revenue
0,warm-up,0.000000,0.000000,15.78,0,3,6,0,0.000000
1,warm-up,0.000000,0.000000,14.19,0,6,6,0,0.000000
2,warm-up,0.333333,0.039210,13.47,1,2,6,1,0.000000
3,warm-up,0.250000,0.029408,13.12,1,3,6,1,0.000000
4,warm-up,0.200000,0.023526,12.87,1,4,6,1,0.000000
5,warm-up,0.166667,0.019605,12.65,1,6,6,1,0.000000
6,warm-up,0.142857,0.016804,12.48,1,4,6,1,0.000000
7,warm-up,0.125000,0.014704,12.72,1,6,6,1,0.000000
8,warm-up,0.222222,0.023506,12.84,1,3,6,2,0.000000
9,warm-up,0.300000,0.030831,12.94,2,2,6,3,0.000000
10,warm-up,0.363636,0.038910,12.83,3,2,6,4,0.000000
11,warm-up,0.333333,0.035668,13.68,3,4,6,4,0.000000
12,warm-up,0.307692,0.032924,13.41,3,6,6,4,0.000000
13,warm-up,0.357143,0.033849,13.18,4,6,6,5,0.000000
14,warm-up,0.400000,0.034523,13.07,5,6,6,6,0.000000
15,warm-up,0.375000,0.032365,12.94,5,6,6,6,0.000000
16,warm-up,0.411765,0.038304,12.97,6,3,6,7,0.000000
17,warm-up,0.388889,0.036176,12.83,6,2,6,7,0.000000
18,warm-up,0.421053,0.036586,12.72,6,6,6,8,0.000000
19,warm-up,0.400000,0.034757,12.63,6,6,6,8,0.000000
20,warm-up,0.380952,0.033102,12.56,6,3,6,8,0.000000
21,warm-up,0.409091,0.034019,12.36,7,6,6,9,0.000000
22,warm-up,0.391304,0.032540,12.16,7,4,6,9,0.000000
23,warm-up,0.375000,0.031184,11.99,6,6,6,9,0.133329
24,warm-up,0.360000,0.029936,11.82,6,6,6,9,0.133329
25,warm-up,0.346154,0.028785,11.65,6,4,6,9,0.133329
26,warm-up,0.333333,0.027719,11.51,6,3,6,9,0.133329
27,warm-up,0.321429,0.026729,11.39,5,6,6,9,0.179203
28,warm-up,0.344828,0.029761,11.27,5,2,6,10,0.179203
29,warm-up,0.366667,0.032134,11.18,4,2,6,11,0.340790
30,warm-up,0.387097,0.032702,11.10,4,6,6,12,0.340790
31,warm-up,0.375000,0.031680,10.99,4,4,6,12,0.340790
32,warm-up,0.363636,0.030720,10.90,4,2,6,12,0.340790
33,warm-up,0.352941,0.029816,10.80,4,2,6,12,0.340790
34,warm-up,0.371429,0.031085,10.71,5,6,6,13,0.340790
35,warm-up,0.361111,0.030222,10.64,5,6,6,13,0.340790
36,warm-up,0.378378,0.034712,10.56,6,3,6,14,0.340790
37,warm-up,0.368421,0.033798,10.48,5,2,6,14,0.460489
38,warm-up,0.384615,0.033742,10.41,6,6,6,15,0.460489
39,warm-up,0.400000,0.034136,10.35,6,2,6,16,0.460489
40,warm-up,0.390244,0.033304,10.28,6,6,6,16,0.460489
41,warm-up,0.380952,0.032511,10.21,6,2,6,16,0.460489
42,warm-up,0.372093,0.031755,10.15,6,2,6,16,0.460489
43,warm-up,0.363636,0.031033,10.09,6,6,6,16,0.460489
44,warm-up,0.355556,0.030344,10.07,5,2,6,16,0.557245
45,warm-up,0.347826,0.029684,10.04,5,6,6,16,0.557245
46,warm-up,0.340426,0.029052,9.99,4,4,6,16,0.631468
47,warm-up,0.333333,0.028447,9.94,4,6,6,16,0.631468
48,warm-up,0.326531,0.027867,10.02,4,2,6,16,0.631468
49,warm-up,0.320000,0.027309,9.97,4,2,6,16,0.631468
50,warm-up,0.320000,0.027309,9.81,3,4,6,16,0.732426
51,warm-up,0.320000,0.027309,9.71,3,6,6,16,0.732426
52,warm-up,0.300000,0.024957,9.63,3,3,6,16,0.732426
53,warm-up,0.320000,0.028421,9.55,3,3,6,17,0.732426
54,warm-up,0.320000,0.028421,9.47,3,2,6,17,0.732426
55,warm-up,0.320000,0.028421,9.39,3,4,6,17,0.732426
56,warm-up,0.320000,0.028421,9.38,3,6,6,17,0.732426
57,warm-up,0.340000,0.030167,9.38,3,2,6,18,0.732426
58,warm-up,0.320000,0.028288,9.26,3,3,6,18,0.732426
59,warm-up,0.320000,0.029709,9.13,4,4,6,19,0.732426
60,warm-up,0.300000,0.027315,9.05,4,3,6,19,0.732426
61,warm-up,0.300000,0.027315,8.76,3,3,6,19,0.785702
62,warm-up,0.300000,0.027315,8.71,3,6,6,19,0.785702
63,warm-up,0.280000,0.026397,8.66,3,6,6,19,0.785702
64,warm-up,0.260000,0.025518,8.59,3,4,6,19,0.785702
65,warm-up,0.260000,0.025518,8.54,3,6,6,19,0.785702
66,warm-up,0.240000,0.022852,8.43,3,6,6,19,0.785702
67,warm-up,0.240000,0.022852,8.38,3,3,6,19,0.785702
68,warm-up,0.220000,0.021972,8.32,3,2,6,19,0.785702
69,warm-up,0.240000,0.024269,8.25,3,4,6,20,0.785702
70,warm-up,0.240000,0.024269,8.20,3,4,6,20,0.785702
71,warm-up,0.220000,0.023203,8.20,3,6,6,20,0.785702
72,warm-up,0.220000,0.023203,8.20,3,2,6,20,0.785702
73,warm-up,0.220000,0.023203,8.20,3,3,6,20,0.785702
74,warm-up,0.240000,0.026790,8.20,3,4,6,21,0.785702
75,warm-up,0.260000,0.028530,8.21,3,2,6,22,0.982062
76,warm-up,0.260000,0.028530,8.25,3,4,6,22,0.982062
77,warm-up,0.260000,0.028530,8.26,3,2,6,22,0.982062
78,warm-up,0.260000,0.027076,8.26,4,6,6,23,0.982062
79,warm-up,0.240000,0.025057,8.25,4,3,6,23,0.982062
